keyword,intent,icp,pillar,cluster,target_url,source,monthly_searches,difficulty,notes,variant_type,parent_seed,serp_notes
client acquisition for ria,transactional,RIA,Client Acquisition,Onboarding & Proposal,/features/client-acquisition,GSC|Heuristic,,,"Primary seed for RIA demand","head",,
ria onboarding software,commercial,RIA,Client Acquisition,Onboarding & Proposal,/features/client-acquisition,Heuristic,,,"Software-modifier variant","long_tail","client acquisition for ria",
brokerage statement scanner,informational,All,Client Acquisition,Statement Scanning,/features/automated-statement-scanner,GSC|Heuristic,,,"Seed for scanning cluster","head",,
ocr brokerage statement,informational,All,Client Acquisition,Statement Scanning,/features/automated-statement-scanner,DFS,,,"OCR-modifier","long_tail","brokerage statement scanner",
held-away asset aggregation,informational,RIA,Client Acquisition,Statement Scanning,/features/automated-statement-scanner,Heuristic,,,"Related intake topic","adjacent","brokerage statement scanner",
investment policy statement software,commercial,All,Compliance,IPS & Reg BI,/features/investment-policy-statements,DFS,320,34,"Strong tool-intent","head",,
ips generator advisors,transactional,All,Compliance,IPS & Reg BI,/features/investment-policy-statements,DFS,,,"Generator-modifier","long_tail","investment policy statement software",
reg bi documentation generator,informational,All,Compliance,IPS & Reg BI,/features/regulation-best-interest-generator,Heuristic,,,"Process intent","adjacent","investment policy statement software",
portfolio comparison tool advisors,informational,All,Portfolio Ops,Portfolio Analytics,/features/asset-allocation,Heuristic,,,"Evaluation intent","adjacent","asset allocation",
portfolio risk management software,commercial,All,Risk & Compliance,Risk Management,/features/risk-management,Heuristic,70,13,"Tool intent for risk workflows","head",,
ria proposal generation,commercial,RIA,Client Acquisition,Onboarding & Proposal,/features/client-acquisition,Heuristic,,,"Proposal verb intent","adjacent","client acquisition for ria",
financial advisor proposal software,commercial,All,Client Acquisition,Onboarding & Proposal,/features/client-acquisition,DFS,,,"Generic advisor-tool intent","head",,
solo advisor productivity,informational,Solo Advisor,Advisor Productivity,Workflow Automation,/segments/financial-planners,Heuristic,,,"Solo pain-language","head",,
wealth manager client acquisition,commercial,Wealth Manager,Client Acquisition,Onboarding & Proposal,/segments/wealth-managers,Heuristic,,,"ICP variant","long_tail","client acquisition for ria",
advisor statement scanning pdf,informational,All,Client Acquisition,Statement Scanning,/features/automated-statement-scanner,Heuristic,,,"Filetype modifier","long_tail","brokerage statement scanner",
ips template for clients,informational,All,Compliance,IPS & Reg BI,/features/investment-policy-statements,Heuristic,,,"Template modifier","question","investment policy statement software",
reg bi checklist advisors,informational,All,Compliance,IPS & Reg BI,/features/regulation-best-interest-generator,Heuristic,,,"Checklist modifier","question","reg bi documentation generator",
ai wealth management platform,informational,All,Advisor Productivity,Platform Overview,/how-it-works,Heuristic,,,"Category term","head",,
financial advisor onboarding automation,informational,All,Client Acquisition,Onboarding & Proposal,/features/client-acquisition,DFS,,,"Automation modifier","long_tail","client acquisition for ria",
ai portfolio optimization advisors,informational,All,Portfolio Ops,Portfolio Analytics,/features/asset-allocation,Heuristic,,,"Optimization modifier","adjacent","asset allocation",
investment proposal software advisors,commercial,All,Client Acquisition,Onboarding & Proposal,/features/client-acquisition,DFS,,,"Proposal software generic","head",,
